,Team,Qualifying,Grid,Eff_Grid,Finish,Qual_Pts,Fin_Pts,Team_Pts,Movement_Pts,Completion,Fst_Lap,Total_Race_Pts
Sebastian Vettel,Ferrari,5,5,5,4,2,7,1,1,3,0,14
Kimi Räikkönen,Ferrari,14,14,13,6,1,5,0,7,3,2,18
Nico Hülkenberg,Force India-Mercedes,9,9,8,10,2,1,1,0,3,0,7
Sergio Pérez,Force India-Mercedes,13,13,12,11,1,0,0,1,3,0,5
Esteban Gutiérrez,Haas-Ferrari,15,15,14,13,1,0,1,1,3,0,6
Romain Grosjean,Haas-Ferrari,11,11,10,14,1,0,0,0,3,0,4
Pascal Wehrlein,MRT-Mercedes,DNF,20,19,19,0,0,1,0,3,0,4
Rio Haryanto,MRT-Mercedes,DNF,21,20,21,0,0,0,0,3,0,3
Fernando Alonso,McLaren-Honda,7,7,7,7,2,4,1,0,3,0,10
Jenson Button,McLaren-Honda,8,8,,Ret,2,0,0,0,1,0,3
Lewis Hamilton,Mercedes,2,2,2,1,2,10,1,1,3,0,17
Nico Rosberg,Mercedes,1,1,1,2,3,9,0,0,3,0,15
Daniel Ricciardo,Red Bull Racing-TAG Heuer,3,3,3,3,2,8,1,0,3,0,14
Max Verstappen,Red Bull Racing-TAG Heuer,4,4,4,5,2,6,0,0,3,0,11
Jolyon Palmer,Renault,DNF,17,16,12,0,0,1,4,3,0,8
Kevin Magnussen,Renault,DNF,19,18,15,0,0,0,3,3,0,6
Felipe Nasr,Sauber-Ferrari,16,16,15,17,1,0,1,0,3,0,5
Marcus Ericsson,Sauber-Ferrari,DNF,PL,21,20,0,0,0,1,3,0,4
Carlos Sainz Jr.,Toro Rosso-Ferrari,6,6,6,8,2,3,1,0,3,0,9
Daniil Kvyat,Toro Rosso-Ferrari,12,12,11,16,1,0,0,0,3,0,4
Valtteri Bottas,Williams-Mercedes,10,10,9,9,2,2,1,0,3,0,8
Felipe Massa,Williams-Mercedes,DNF,18,17,18,0,0,0,0,3,0,3
