Racer,Team,Australia $,Australia Pts,Bahrain $,Bahrain Pts,China $,China Pts,Russia $,Russia Pts,Spain $,Spain Pts,Monaco $,Monaco Pts,Canada $,Canada Pts,Azerbaijan $,Azerbaijan Pts,Austria $,Austria Pts,UK $,UK Pts,Hungary $,Hungary Pts,Germany $,Germany Pts,Belgium $,Belgium Pts,Italy $,Italy Pts,Singapore $,Singapore Pts,Malaysia $,Malaysia Pts,Japan $,Japan Pts,USA $,USA Pts,Mexico $,Mexico Pts,Brazil $,Brazil Pts,UAE $,UAE Pts
Nico Rosberg,Mercedes,11,17,11,19,11,17,10,19,10,2,8,9,7,13,6,19,7,13,8,15,9,15,9,13,8,,,,,,,,,,,,,,,,,
Lewis Hamilton,Mercedes,9,15,9,14,9,17,9,20,10,3,8,20,9,17,9,15,8,19,11,17,10,17,10,17,10,,,,,,,,,,,,,,,,,
Daniel Ricciardo,Red Bull-TAG Heuer,11,18,11,13,10,12,8,6,7,12,6,16,7,9,6,10,7,11,7,12,6,14,7,18,8,,,,,,,,,,,,,,,,,
Romain Grosjean,Haas-Ferrari,11,18,11,14,10,4,7,12,7,2,5,4,3,4,3,5,2,12,4,1,3,4,3,10,4,,,,,,,,,,,,,,,,,
Felipe Massa,Williams-Mercedes,8,12,7,9,6,14,7,11,7,11,7,8,6,3,5,6,4,5,3,6,3,3,3,3,2,,,,,,,,,,,,,,,,,
Sebastian Vettel,Ferrari,9,14,9,2,5,17,6,2,5,14,5,13,7,16,7,16,9,2,7,9,6,14,6,13,6,,,,,,,,,,,,,,,,,
Daniil Kvyat,Red Bull-TAG Heuer,1,0,1,12,4,17,6,5,5,7,6,2,5,5,3,2,2,0,1,9,2,4,2,5,3,,,,,,,,,,,,,,,,,
Kimi Räikkönen,Ferrari,1,2,1,16,6,11,6,14,6,16,8,2,6,10,6,12,6,14,6,12,7,18,8,10,8,,,,,,,,,,,,,,,,,
Max Verstappen,Toro Rosso-Ferrari,4,6,4,13,6,10,6,3,5,17,6,0,4,14,5,8,6,20,6,16,9,11,8,14,9,,,,,,,,,,,,,,,,,
Valtteri Bottas,Williams-Mercedes,8,12,7,7,6,6,5,13,5,12,6,4,5,18,7,12,7,8,6,5,6,8,5,8,4,,,,,,,,,,,,,,,,,
Nico Hülkenberg,Force India-Mercedes,7,11,7,6,5,7,5,1,4,1,2,10,3,9,3,8,4,5,5,10,5,7,4,11,5,,,,,,,,,,,,,,,,,
Kevin Magnussen,Renault,3,4,2,10,4,4,4,15,5,4,5,1,4,7,4,8,3,3,3,4,3,6,3,4,2,,,,,,,,,,,,,,,,,
Carlos Sainz Jr.,Toro Rosso-Ferrari,4,8,5,2,3,7,3,5,3,11,4,9,5,15,6,2,6,11,6,9,5,9,5,5,5,,,,,,,,,,,,,,,,,
Pascal Wehrlein,MRT-Mercedes,3,4,2,4,2,7,3,4,3,4,3,5,3,4,3,1,2,6,2,0,2,4,2,4,2,,,,,,,,,,,,,,,,,
Felipe Nasr,Sauber-Ferrari,3,4,2,5,3,4,3,3,2,4,2,1,2,3,2,6,2,7,3,5,3,5,3,1,3,,,,,,,,,,,,,,,,,
Sergio Pérez,Force India-Mercedes,3,4,2,3,2,6,3,8,3,10,4,18,6,5,6,17,8,4,7,14,6,5,6,6,4,,,,,,,,,,,,,,,,,
Marcus Ericsson,Sauber-Ferrari,1,1,1,5,2,5,2,8,3,6,3,1,3,7,3,3,3,3,2,0,2,4,1,6,2,,,,,,,,,,,,,,,,,
Jenson Button,McLaren-Honda,3,5,3,1,2,4,2,5,2,7,2,8,4,1,3,8,4,11,4,7,4,3,4,11,5,,,,,,,,,,,,,,,,,
Esteban Gutiérrez,Haas-Ferrari,1,0,1,1,1,8,2,4,2,5,3,5,3,5,3,4,3,4,3,5,3,6,3,5,3,,,,,,,,,,,,,,,,,
Jolyon Palmer,Renault,3,5,3,0,2,3,2,5,2,4,2,0,2,0,1,5,1,6,2,1,2,8,3,4,3,,,,,,,,,,,,,,,,,
Fernando Alonso,McLaren-Honda,1,1,1,0,1,5,1,15,3,3,3,15,6,6,6,2,4,4,4,5,2,10,3,4,3,,,,,,,,,,,,,,,,,
Rio Haryanto,MRT-Mercedes,1,0,1,3,1,3,1,0,1,3,1,3,1,3,1,4,2,3,2,0,1,3,1,3,1,,,,,,,,,,,,,,,,,
Stoffel Vandoorne,McLaren-Honda,0,0,1,6,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,,,,,,,,,,,,,,
